iter	Passed	Remaining
0	557	556461
1	743	371032
2	921	306357
3	1103	274781
4	1286	256002
5	1468	243305
6	1644	233279
7	1830	227040
8	2020	222508
9	2203	218174
10	2392	215152
11	2570	211646
12	2752	208974
13	2930	206406
14	3109	204159
15	3294	202635
16	3470	200662
17	3645	198873
18	3829	197734
19	4014	196731
20	4194	195535
21	4382	194842
22	4579	194530
23	4761	193617
24	4941	192718
25	5119	191773
26	5303	191108
27	5480	190258
28	5655	189365
29	5831	188549
30	6007	187779
31	6185	187103
32	6360	186372
33	6534	185649
34	6714	185134
35	6892	184557
36	7071	184049
37	7247	183487
38	7427	183027
39	7602	182464
40	7779	181975
41	7955	181452
42	8130	180940
43	8304	180442
44	8484	180058
45	8667	179761
46	8853	179520
47	9030	179111
48	9205	178660
49	9395	178505
50	9570	178085
51	9750	177759
52	9927	177391
53	10103	176992
54	10278	176603
55	10458	176298
56	10635	175951
57	10811	175601
58	10992	175318
59	11167	174954
60	11343	174619
61	11521	174313
62	11697	173981
63	11873	173650
64	12056	173433
65	12239	173211
66	12419	172943
67	12599	172689
68	12778	172422
69	12957	172155
70	13133	171847
71	13310	171555
72	13486	171265
73	13671	171079
74	13858	170923
75	14044	170756
76	14233	170619
77	14428	170548
78	14618	170430
79	14812	170344
80	15005	170249
81	15194	170108
82	15387	170003
83	15576	169857
84	15764	169704
85	15953	169547
86	16141	169393
87	16329	169235
88	16518	169080
89	16723	169097
90	16916	168982
91	17103	168799
92	17290	168627
93	17482	168503
94	17669	168328
95	17856	168145
96	18042	167966
97	18229	167788
98	18421	167650
99	18608	167479
100	18799	167335
101	18986	167158
102	19179	167031
103	19363	166820
104	19552	166661
105	19743	166514
106	19949	166496
107	20134	166298
108	20324	166135
109	20512	165967
110	20702	165806
111	20899	165704
112	21091	165555
113	21278	165374
114	21464	165185
115	21648	164979
116	21835	164791
117	22022	164605
118	22210	164429
119	22397	164249
120	22592	164123
121	22780	163945
122	22968	163763
123	23154	163571
124	23343	163402
125	23530	163216
126	23715	163022
127	23904	162847
128	24091	162664
129	24279	162488
130	24477	162373
131	24667	162206
132	24867	162104
133	25058	161947
134	25250	161790
135	25438	161607
136	25630	161451
137	25821	161289
138	26008	161105
139	26196	160921
140	26384	160737
141	26571	160552
142	26760	160374
143	26947	160190
144	27136	160012
145	27326	159842
146	27517	159673
147	27711	159530
148	27899	159345
149	28087	159164
150	28275	158980
151	28463	158794
152	28654	158628
153	28851	158498
154	29042	158328
155	29230	158143
156	29418	157959
157	29606	157778
158	29793	157588
159	29983	157411
160	30171	157230
161	30358	157039
162	30547	156860
163	30748	156741
164	30936	156555
165	31122	156364
166	31321	156233
167	31504	156024
168	31692	155837
169	31881	155657
170	32067	155459
171	32257	155287
172	32446	155104
173	32638	154937
174	32842	154826
175	33031	154645
176	33220	154463
177	33408	154281
178	33595	154088
179	33779	153885
180	33969	153706
181	34156	153514
182	34357	153386
183	34545	153199
184	34741	153051
185	34932	152878
186	35119	152687
187	35306	152495
188	35495	152311
189	35682	152120
190	35867	151922
191	36055	151735
192	36242	151543
193	36428	151346
194	36622	151186
195	36817	151024
196	37009	150854
197	37194	150657
198	37379	150455
199	37582	150331
200	37773	150152
201	37966	149988
202	38156	149804
203	38342	149610
204	38528	149416
205	38718	149235
206	38902	149032
207	39094	148859
208	39289	148696
209	39477	148509
210	39665	148324
211	39853	148134
212	40045	147961
213	40232	147768
214	40418	147573
215	40611	147404
216	40803	147230
217	40998	147067
218	41186	146879
219	41371	146680
220	41565	146514
221	41752	146323
222	41942	146140
223	42139	145981
224	42336	145824
225	42522	145631
226	42711	145444
227	42906	145280
228	43096	145096
229	43286	144914
230	43472	144720
231	43661	144533
232	43851	144352
233	44049	144195
234	44242	144022
235	44442	143873
236	44639	143711
237	44833	143543
238	45030	143380
239	45223	143206
240	45416	143034
241	45610	142861
242	45802	142686
243	46000	142526
244	46186	142329
245	46372	142133
246	46564	141956
247	46754	141771
248	46944	141586
249	47136	141410
250	47325	141221
251	47514	141034
252	47704	140851
253	47892	140659
254	48101	140531
255	48297	140365
256	48493	140197
257	48695	140047
258	48903	139912
259	49094	139729
260	49291	139565
261	49488	139398
262	49680	139217
263	49893	139097
264	50104	138968
265	50311	138829
266	50514	138677
267	50701	138483
268	50891	138295
269	51083	138114
270	51274	137929
271	51467	137752
272	51657	137563
273	51848	137379
274	52038	137192
275	52227	137001
276	52418	136817
277	52607	136627
278	52798	136444
279	52987	136253
280	53178	136068
281	53368	135882
282	53554	135683
283	53739	135484
284	53927	135291
285	54115	135100
286	54304	134909
287	54505	134750
288	54692	134554
289	54878	134358
290	55064	134159
291	55255	133974
292	55440	133776
293	55640	133613
294	55835	133436
295	56029	133258
296	56245	133133
297	56443	132964
298	56637	132784
299	56829	132603
300	57018	132412
301	57212	132233
302	57399	132036
303	57590	131851
304	57781	131666
305	57980	131497
306	58171	131312
307	58367	131137
308	58563	130963
309	58758	130785
310	58949	130599
311	59134	130400
312	59331	130227
313	59517	130029
314	59706	129838
315	59893	129643
316	60083	129454
317	60269	129257
318	60460	129069
319	60654	128890
320	60844	128702
321	61036	128518
322	61224	128324
323	61413	128134
324	61598	127935
325	61786	127741
326	61974	127548
327	62163	127360
328	62352	127168
329	62538	126973
330	62729	126786
331	62918	126594
332	63105	126401
333	63294	126209
334	63485	126023
335	63674	125832
336	63869	125654
337	64060	125466
338	64252	125282
339	64450	125109
340	64651	124942
341	64850	124769
342	65047	124595
343	65239	124410
344	65433	124229
345	65626	124045
346	65815	123854
347	66010	123675
348	66204	123493
349	66397	123309
350	66591	123127
351	66788	122950
352	66978	122762
353	67169	122575
354	67361	122388
355	67552	122200
356	67737	122003
357	67928	121815
358	68117	121625
359	68304	121430
360	68497	121246
361	68698	121075
362	68891	120891
363	69081	120702
364	69267	120506
365	69458	120318
366	69646	120126
367	69833	119931
368	70021	119738
369	70209	119546
370	70396	119350
371	70583	119156
372	70770	118962
373	70955	118765
374	71145	118576
375	71332	118381
376	71524	118196
377	71712	118003
378	71899	117808
379	72085	117613
380	72275	117424
381	72464	117232
382	72656	117047
383	72846	116857
384	73033	116664
385	73221	116471
386	73408	116278
387	73595	116084
388	73789	115900
389	73987	115724
390	74175	115532
391	74367	115346
392	74559	115159
393	74746	114965
394	74938	114779
395	75129	114591
396	75316	114397
397	75503	114203
398	75690	114009
399	75875	113813
400	76070	113631
401	76271	113458
402	76463	113272
403	76657	113089
404	76852	112906
405	77041	112715
406	77229	112523
407	77417	112330
408	77606	112139
409	77793	111946
410	77984	111758
411	78174	111569
412	78363	111379
413	78550	111184
414	78737	110990
415	78930	110806
416	79116	110611
417	79306	110421
418	79495	110231
419	79683	110038
420	79868	109843
421	80056	109651
422	80245	109460
423	80433	109268
424	80625	109081
425	80815	108892
426	81008	108707
427	81211	108535
428	81398	108341
429	81587	108150
430	81777	107960
431	81963	107767
432	82156	107581
433	82343	107388
434	82531	107195
435	82720	107005
436	82904	106808
437	83092	106615
438	83278	106422
439	83467	106231
440	83666	106053
441	83869	105880
442	84059	105691
443	84249	105501
444	84445	105319
445	84638	105133
446	84835	104952
447	85024	104761
448	85211	104569
449	85400	104377
450	85591	104190
451	85782	104001
452	85969	103809
453	86157	103616
454	86346	103426
455	86533	103233
456	86724	103044
457	86913	102853
458	87098	102658
459	87290	102470
460	87482	102284
461	87670	102092
462	87864	101907
463	88053	101716
464	88240	101524
465	88428	101331
466	88618	101143
467	88811	100956
468	89001	100767
469	89194	100580
470	89380	100386
471	89576	100203
472	89764	100012
473	89954	99822
474	90141	99629
475	90327	99436
476	90513	99242
477	90700	99049
478	90887	98856
479	91077	98667
480	91277	98488
481	91464	98295
482	91655	98107
483	91841	97914
484	92028	97720
485	92216	97528
486	92402	97336
487	92595	97149
488	92787	96962
489	92978	96773
490	93163	96578
491	93352	96388
492	93536	96193
493	93725	96002
494	93913	95810
495	94098	95616
496	94293	95432
497	94492	95251
498	94684	95064
499	94876	94876
500	95063	94683
501	95250	94491
502	95437	94299
503	95624	94106
504	95815	93918
505	96004	93727
506	96190	93534
507	96379	93344
508	96573	93158
509	96766	92971
510	96960	92785
511	97145	92591
512	97334	92401
513	97523	92211
514	97713	92021
515	97902	91830
516	98089	91638
517	98275	91445
518	98462	91253
519	98649	91061
520	98839	90871
521	99032	90685
522	99239	90511
523	99434	90325
524	99623	90135
525	99810	89943
526	100003	89756
527	100189	89563
528	100374	89369
529	100570	89185
530	100763	88998
531	100954	88809
532	101144	88620
533	101329	88426
534	101515	88233
535	101703	88041
536	101890	87849
537	102082	87661
538	102269	87469
539	102456	87277
540	102642	87085
541	102831	86894
542	103020	86704
543	103210	86514
544	103399	86324
545	103585	86131
546	103770	85938
547	103958	85747
548	104144	85554
549	104336	85366
550	104532	85181
551	104738	85005
552	104931	84818
553	105117	84625
554	105307	84435
555	105494	84243
556	105676	84048
557	105865	83857
558	106052	83665
559	106239	83473
560	106428	83283
561	106617	83093
562	106804	82901
563	106992	82710
564	107180	82519
565	107366	82327
566	107553	82135
567	107743	81945
568	107929	81753
569	108122	81566
570	108312	81376
571	108502	81187
572	108695	81000
573	108890	80813
574	109101	80640
575	109287	80447
576	109475	80256
577	109665	80067
578	109854	79876
579	110042	79686
580	110230	79494
581	110415	79301
582	110603	79110
583	110790	78918
584	110979	78728
585	111170	78540
586	111355	78347
587	111542	78155
588	111729	77964
589	111917	77773
590	112109	77584
591	112294	77392
592	112489	77206
593	112680	77017
594	112869	76826
595	113059	76637
596	113250	76449
597	113439	76258
598	113627	76067
599	113816	75877
600	114003	75685
601	114193	75496
602	114385	75308
603	114574	75118
604	114767	74930
605	114957	74741
606	115144	74549
607	115332	74358
608	115520	74168
609	115706	73976
610	115892	73784
611	116093	73601
612	116285	73413
613	116479	73226
614	116678	73042
615	116866	72851
616	117056	72662
617	117249	72474
618	117438	72284
619	117623	72091
620	117812	71901
621	117998	71709
622	118184	71517
623	118370	71325
624	118558	71135
625	118745	70943
626	118934	70753
627	119121	70562
628	119311	70372
629	119499	70182
630	119687	69991
631	119883	69805
632	120073	69616
633	120264	69426
634	120453	69237
635	120644	69048
636	120831	68856
637	121034	68674
638	121222	68484
639	121409	68292
640	121596	68101
641	121782	67909
642	121970	67718
643	122160	67529
644	122346	67338
645	122532	67146
646	122720	66955
647	122908	66764
648	123095	66574
649	123296	66390
650	123491	66203
651	123678	66012
652	123872	65825
653	124064	65636
654	124253	65446
655	124449	65260
656	124640	65071
657	124830	64881
658	125027	64695
659	125214	64504
660	125406	64316
661	125593	64124
662	125779	63933
663	125967	63742
664	126152	63550
665	126340	63359
666	126526	63168
667	126716	62978
668	126903	62787
669	127089	62596
670	127279	62406
671	127465	62215
672	127654	62025
673	127841	61834
674	128026	61642
675	128210	61450
676	128402	61261
677	128592	61071
678	128782	60882
679	128975	60694
680	129160	60502
681	129350	60312
682	129539	60122
683	129728	59932
684	129917	59742
685	130106	59553
686	130296	59363
687	130484	59172
688	130672	58982
689	130858	58791
690	131045	58600
691	131233	58410
692	131428	58222
693	131615	58032
694	131799	57840
695	131989	57650
696	132177	57460
697	132382	57277
698	132585	57093
699	132776	56904
700	132966	56714
701	133155	56524
702	133364	56343
703	133558	56155
704	133747	55965
705	133934	55774
706	134125	55585
707	134316	55396
708	134510	55208
709	134701	55018
710	134890	54828
711	135082	54640
712	135275	54451
713	135468	54263
714	135653	54071
715	135841	53881
716	136029	53690
717	136214	53499
718	136401	53308
719	136596	53120
720	136789	52932
721	136974	52741
722	137161	52550
723	137351	52360
724	137542	52171
725	137729	51980
726	137918	51790
727	138105	51599
728	138305	51413
729	138494	51223
730	138683	51033
731	138874	50844
732	139063	50654
733	139252	50464
734	139438	50273
735	139624	50082
736	139814	49892
737	140002	49702
738	140192	49513
739	140385	49324
740	140579	49136
741	140768	48946
742	140958	48756
743	141148	48567
744	141334	48376
745	141522	48186
746	141708	47995
747	141894	47804
748	142093	47617
749	142279	47426
750	142466	47235
751	142655	47046
752	142841	46854
753	143026	46663
754	143213	46473
755	143402	46283
756	143590	46093
757	143779	45903
758	143966	45712
759	144155	45522
760	144348	45334
761	144555	45149
762	144749	44961
763	144937	44771
764	145126	44581
765	145317	44392
766	145510	44203
767	145702	44014
768	145888	43823
769	146075	43633
770	146264	43443
771	146451	43252
772	146637	43061
773	146826	42871
774	147012	42681
775	147199	42490
776	147393	42302
777	147590	42114
778	147780	41924
779	147966	41734
780	148153	41543
781	148342	41353
782	148536	41165
783	148725	40975
784	148915	40785
785	149101	40595
786	149295	40406
787	149486	40217
788	149677	40027
789	149869	39838
790	150056	39648
791	150243	39458
792	150431	39267
793	150620	39077
794	150813	38889
795	151000	38698
796	151187	38508
797	151373	38317
798	151563	38128
799	151750	37937
800	151936	37747
801	152122	37556
802	152308	37365
803	152498	37176
804	152690	36987
805	152882	36798
806	153070	36607
807	153255	36417
808	153449	36228
809	153648	36041
810	153838	35851
811	154025	35661
812	154215	35471
813	154406	35281
814	154593	35091
815	154784	34902
816	154970	34711
817	155163	34522
818	155350	34332
819	155537	34142
820	155736	33954
821	155927	33765
822	156112	33574
823	156302	33384
824	156492	33195
825	156682	33005
826	156879	32817
827	157063	32626
828	157259	32438
829	157453	32249
830	157647	32060
831	157838	31871
832	158045	31684
833	158249	31498
834	158440	31308
835	158631	31119
836	158821	30929
837	159026	30742
838	159223	30554
839	159415	30364
840	159605	30175
841	159799	29986
842	159991	29796
843	160179	29606
844	160367	29416
845	160560	29227
846	160750	29037
847	160949	28849
848	161135	28659
849	161321	28468
850	161510	28278
851	161695	28087
852	161887	27898
853	162082	27709
854	162272	27519
855	162457	27329
856	162649	27139
857	162849	26951
858	163046	26763
859	163237	26573
860	163427	26383
861	163617	26194
862	163812	26005
863	164002	25815
864	164198	25626
865	164395	25437
866	164594	25249
867	164789	25060
868	164979	24870
869	165172	24680
870	165366	24491
871	165557	24301
872	165744	24111
873	165937	23922
874	166127	23732
875	166315	23542
876	166508	23352
877	166695	23162
878	166883	22972
879	167078	22783
880	167265	22593
881	167451	22402
882	167640	22212
883	167827	22022
884	168018	21832
885	168204	21642
886	168393	21452
887	168585	21262
888	168773	21073
889	168971	20884
890	169159	20694
891	169346	20503
892	169535	20313
893	169723	20123
894	169915	19934
895	170099	19743
896	170288	19553
897	170478	19363
898	170668	19174
899	170865	18985
900	171059	18795
901	171246	18605
902	171433	18415
903	171622	18225
904	171808	18035
905	171998	17845
906	172191	17655
907	172378	17465
908	172569	17275
909	172758	17086
910	172948	16896
911	173139	16706
912	173327	16516
913	173515	16326
914	173701	16136
915	173887	15946
916	174077	15756
917	174267	15566
918	174459	15376
919	174648	15186
920	174834	14996
921	175021	14806
922	175211	14616
923	175409	14427
924	175607	14238
925	175794	14048
926	175984	13858
927	176188	13669
928	176387	13480
929	176582	13291
930	176778	13101
931	176973	12912
932	177158	12721
933	177345	12531
934	177530	12341
935	177719	12151
936	177907	11961
937	178097	11771
938	178286	11581
939	178473	11391
940	178669	11202
941	178858	11012
942	179046	10822
943	179234	10632
944	179444	10443
945	179629	10253
946	179818	10063
947	180006	9873
948	180201	9684
949	180422	9495
950	180611	9305
951	180804	9116
952	181011	8927
953	181202	8737
954	181395	8547
955	181581	8357
956	181769	8167
957	181957	7977
958	182149	7787
959	182336	7597
960	182529	7407
961	182713	7217
962	182903	7027
963	183096	6837
964	183282	6647
965	183470	6457
966	183659	6267
967	183868	6078
968	184056	5888
969	184255	5698
970	184449	5508
971	184643	5318
972	184836	5129
973	185031	4939
974	185238	4749
975	185429	4559
976	185620	4369
977	185809	4179
978	185997	3989
979	186187	3799
980	186380	3609
981	186578	3419
982	186765	3229
983	186955	3039
984	187141	2849
985	187335	2659
986	187523	2469
987	187709	2279
988	187900	2089
989	188087	1899
990	188274	1709
991	188464	1519
992	188672	1330
993	188861	1140
994	189053	950
995	189241	760
996	189429	569
997	189619	379
998	189807	189
999	189993	0
